feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,humidity
1.896873,0.741114,0.008903,0.008543,1.891271,1.897609,1.902983,0.735665,0.744965,0.747421,0.392581,149.903524,0.040401,0.031953,1.15576,0.438122,0.390703,0.979363,0.609297,15.89
1.886501,0.699851,0.008141,0.007491,1.882043,1.889753,1.892794,0.693995,0.697641,0.702662,0.369171,162.570143,0.034669,0.02649,1.18665,0.458812,0.370978,0.958425,0.629022,15.89
1.86809,0.713625,0.005507,0.005443,1.862664,1.869882,1.872488,0.709315,0.71448,0.716122,0.382099,235.167683,0.021309,0.027895,1.154465,0.44717,0.382008,0.994152,0.617992,15.89
1.85853,0.713679,0.007661,0.00514,1.853177,1.855681,1.861731,0.710214,0.714286,0.718335,0.384919,190.716236,0.034135,0.020833,1.144852,0.445085,0.384002,0.803111,0.615998,15.89
1.919272,0.728323,0.004594,0.003539,1.916995,1.919029,1.920649,0.727004,0.727292,0.729538,0.37899,311.806225,0.026225,0.017991,1.190949,0.449823,0.379479,0.870226,0.620521,15.89
1.8615,0.706976,0.007666,0.003825,1.854989,1.85922,1.868219,0.703628,0.707856,0.708569,0.380728,213.832964,0.028086,0.016074,1.154523,0.449498,0.379788,0.665704,0.620212,15.89
1.9342,0.775256,0.004209,0.005903,1.931539,1.93359,1.937335,0.771046,0.777661,0.779746,0.402185,295.437116,0.02147,0.021607,1.158944,0.42774,0.400815,0.832434,0.599185,18.93
1.924471,0.751805,0.01008,0.006548,1.916105,1.92269,1.933943,0.745793,0.751582,0.75699,0.390901,152.859863,0.036687,0.024252,1.172667,0.438171,0.390655,0.787588,0.609345,18.93
1.929837,0.739652,0.008174,0.00503,1.9226,1.92891,1.935903,0.736737,0.738259,0.740681,0.382734,191.577981,0.033194,0.022377,1.190185,0.445847,0.383272,0.761865,0.616728,18.93
1.933124,0.745634,0.009112,0.009179,1.926243,1.930018,1.938776,0.742651,0.745535,0.749864,0.386284,146.686332,0.034285,0.047966,1.18749,0.443299,0.385715,0.99633,0.614285,18.93
1.902034,0.755435,0.007008,0.003501,1.898093,1.900314,1.903155,0.753003,0.754644,0.75743,0.397115,243.587456,0.032311,0.014004,1.1466,0.431463,0.397172,0.666273,0.602828,18.93
1.959011,0.781429,0.005824,0.005839,1.954788,1.957752,1.96227,0.776634,0.782793,0.78648,0.399843,235.10216,0.0293,0.022455,1.177582,0.429706,0.398889,0.998698,0.601111,18.93
1.918746,0.738944,0.006979,0.0064,1.91319,1.918115,1.924697,0.733534,0.737893,0.743264,0.384697,195.193835,0.027719,0.023905,1.179802,0.44392,0.385118,0.956714,0.614882,18.93
1.936821,0.750963,0.008721,0.00752,1.929836,1.9373,1.94573,0.745683,0.752265,0.756547,0.388306,160.967842,0.030683,0.031176,1.185858,0.441203,0.38773,0.926068,0.61227,18.93
1.806779,0.664946,0.011659,0.006316,1.797711,1.804228,1.814417,0.660342,0.664828,0.670365,0.368483,130.123595,0.045909,0.02629,1.141833,0.461958,0.368028,0.702725,0.631972,19.26
1.885484,0.702763,0.007668,0.005448,1.881352,1.886898,1.89226,0.698765,0.701467,0.706989,0.371757,187.443859,0.030915,0.022586,1.182721,0.456958,0.372723,0.830681,0.627277,19.26
1.922909,0.728313,0.006336,0.003892,1.918562,1.924923,1.927395,0.727853,0.728914,0.730141,0.378672,245.328453,0.025472,0.021156,1.194595,0.450583,0.378756,0.761007,0.621244,19.26
1.880105,0.710227,0.008546,0.004201,1.875954,1.878937,1.884422,0.708611,0.710905,0.713035,0.378355,194.534075,0.044257,0.022419,1.169878,0.451632,0.377759,0.659092,0.622241,19.26
1.866649,0.704962,0.008517,0.004928,1.861719,1.869742,1.8732,0.701632,0.703377,0.706917,0.37619,181.108024,0.029345,0.025035,1.161687,0.451735,0.377662,0.733067,0.622338,19.26
1.912815,0.714423,0.007256,0.005931,1.907399,1.910563,1.918124,0.709895,0.715596,0.718119,0.374547,192.040897,0.03065,0.027012,1.198392,0.456141,0.373493,0.899591,0.626507,19.26
1.912747,0.726764,0.011299,0.007122,1.904182,1.911017,1.92044,0.721856,0.726257,0.732885,0.380037,135.667023,0.050697,0.028335,1.185983,0.449319,0.379958,0.773216,0.620042,19.26
1.920616,0.733353,0.008381,0.006078,1.913916,1.918248,1.925824,0.727735,0.734133,0.738052,0.38271,174.908269,0.035505,0.024827,1.187263,0.447354,0.381832,0.840672,0.618168,19.26
1.888402,0.735346,0.003653,0.005399,1.885805,1.887711,1.890377,0.731845,0.736674,0.740203,0.390247,326.54387,0.017233,0.019281,1.153056,0.439469,0.389401,0.807134,0.610599,21.41
1.885364,0.730873,0.006456,0.006064,1.880748,1.88387,1.890846,0.726484,0.732377,0.734426,0.388762,206.283494,0.030255,0.024623,1.154491,0.441279,0.387656,0.968667,0.612344,21.41
1.909326,0.75101,0.004536,0.003285,1.907091,1.909712,1.91194,0.749299,0.750267,0.752229,0.392869,324.762368,0.020533,0.016487,1.158316,0.435402,0.393338,0.840079,0.606662,21.41
1.866784,0.740022,0.011202,0.003929,1.857602,1.865545,1.871341,0.738195,0.740066,0.742873,0.396702,177.508499,0.050223,0.020015,1.126762,0.432239,0.396415,0.519315,0.603585,21.41
1.842464,0.715112,0.006143,0.004567,1.836915,1.84388,1.846726,0.712422,0.71574,0.717203,0.388171,228.26599,0.031961,0.025261,1.127352,0.440789,0.388128,0.852812,0.611872,21.41
1.892358,0.730639,0.008326,0.005006,1.884683,1.891595,1.899236,0.727305,0.731855,0.734633,0.386898,186.621315,0.027458,0.019504,1.161718,0.442897,0.3861,0.750919,0.6139,21.41
1.893571,0.726635,0.006513,0.007753,1.890408,1.892458,1.897212,0.721471,0.729249,0.733366,0.385345,192.228178,0.033729,0.024864,1.166937,0.445361,0.383738,0.913095,0.616262,21.41
1.894902,0.736834,0.004567,0.00343,1.891563,1.895976,1.898061,0.735288,0.73588,0.738293,0.388127,314.895522,0.018847,0.023898,1.158068,0.44004,0.388851,0.857786,0.611149,21.41
1.860965,0.704829,0.007606,0.003971,1.855598,1.858773,1.864804,0.70203,0.704261,0.707661,0.378885,211.078514,0.031756,0.01696,1.156136,0.450596,0.378744,0.685998,0.621256,22.39
1.86029,0.722636,0.003706,0.002734,1.858351,1.860044,1.861961,0.720788,0.722174,0.724572,0.388256,383.150781,0.021118,0.017003,1.137654,0.440452,0.388453,0.84901,0.611547,22.39
1.903095,0.739859,0.003417,0.004344,1.901239,1.903173,1.904572,0.735263,0.740227,0.742849,0.388944,363.647006,0.018845,0.01507,1.163236,0.440127,0.388766,0.88051,0.611234,22.39
1.837333,0.720828,0.003046,0.003754,1.835328,1.836909,1.839842,0.717564,0.720855,0.724506,0.392428,397.581191,0.01711,0.014592,1.116505,0.436448,0.392323,0.895903,0.607677,22.39
1.883982,0.734648,0.006164,0.004378,1.879993,1.884389,1.888491,0.731961,0.737118,0.737675,0.391171,236.733947,0.027021,0.015,1.149334,0.438907,0.389944,0.830584,0.610056,22.39
1.874861,0.733017,0.007635,0.00499,1.868574,1.873957,1.882166,0.728579,0.731234,0.737264,0.390209,196.243916,0.025496,0.019814,1.141844,0.437844,0.390971,0.790481,0.609029,22.39
1.880728,0.74791,0.007147,0.004333,1.876022,1.879178,1.883279,0.74493,0.74772,0.751524,0.397897,217.872384,0.032825,0.018975,1.132818,0.430952,0.397671,0.75483,0.602329,22.39
1.897038,0.730402,0.007237,0.004482,1.892573,1.896685,1.902625,0.72632,0.730139,0.733607,0.384955,212.536516,0.031359,0.019649,1.166636,0.44402,0.385022,0.764932,0.614978,22.39
1.82133,0.681388,0.006484,0.003095,1.815709,1.822907,1.826999,0.679096,0.681353,0.682771,0.373773,250.503361,0.023596,0.016039,1.139943,0.455482,0.374115,0.64624,0.625885,24.16
1.859663,0.688019,0.006317,0.003965,1.85634,1.859573,1.862165,0.68472,0.686289,0.691528,0.369057,233.958439,0.027895,0.017187,1.171644,0.459886,0.36997,0.771246,0.63003,24.16
1.818595,0.681691,0.00513,0.002334,1.813538,1.818669,1.822564,0.680257,0.681587,0.683438,0.374772,323.255257,0.019712,0.010097,1.136904,0.454709,0.374845,0.625481,0.625155,24.16
1.858865,0.69486,0.006852,0.003313,1.852183,1.857249,1.8642,0.691936,0.695418,0.696732,0.374434,240.520386,0.027937,0.015383,1.164005,0.455807,0.373809,0.651767,0.626191,24.16
1.809495,0.664515,0.005599,0.003757,1.80524,1.809021,1.813898,0.662196,0.663731,0.666834,0.366901,250.037104,0.022347,0.018944,1.14498,0.462803,0.367238,0.803069,0.632762,24.16
1.857898,0.6913,0.006014,0.003081,1.853784,1.859475,1.861799,0.688902,0.690763,0.693292,0.371483,266.646238,0.031027,0.013288,1.166598,0.457633,0.372087,0.677533,0.627913,24.16
1.872658,0.712604,0.00473,0.00346,1.869987,1.871474,1.874758,0.712277,0.713647,0.714529,0.381329,300.918436,0.025139,0.019701,1.160054,0.448718,0.380531,0.845,0.619469,24.16
1.869176,0.701782,0.009567,0.004681,1.86412,1.871816,1.87665,0.697927,0.700191,0.70491,0.374071,172.65249,0.042871,0.018157,1.167394,0.45407,0.37545,0.657011,0.62455,24.16
1.872876,0.717665,0.005696,0.004913,1.867772,1.870575,1.878035,0.713897,0.718608,0.720653,0.384164,237.435706,0.018398,0.021514,1.155212,0.445935,0.383188,0.926201,0.616812,25.52
1.88175,0.705308,0.006642,0.004084,1.878412,1.880987,1.883156,0.703689,0.70447,0.708087,0.374521,228.010012,0.031248,0.01925,1.176442,0.454741,0.374815,0.76149,0.625185,25.52
1.909819,0.702857,0.007175,0.004534,1.906198,1.911952,1.914951,0.700666,0.701386,0.704033,0.366843,210.601682,0.0276,0.024914,1.206962,0.461964,0.368023,0.77448,0.631977,25.52
1.853115,0.678677,0.007609,0.003051,1.848001,1.854426,1.860532,0.677183,0.678822,0.681103,0.366055,233.005084,0.030203,0.013124,1.174438,0.463876,0.366236,0.572363,0.633764,25.52
1.94065,0.731106,0.009171,0.004663,1.933198,1.941876,1.949489,0.730654,0.731614,0.732249,0.376756,184.188634,0.033114,0.030111,1.209544,0.452715,0.376733,0.674138,0.623267,25.52
1.858488,0.690674,0.005053,0.005286,1.854948,1.856563,1.861425,0.687731,0.690636,0.694095,0.371997,249.218886,0.024563,0.022332,1.167814,0.458117,0.371632,0.977519,0.628368,25.52
1.852637,0.709262,0.005358,0.003925,1.849194,1.852194,1.857504,0.70616,0.70952,0.71151,0.38307,263.251179,0.024217,0.016048,1.143375,0.4463,0.382839,0.845614,0.617161,25.52
1.928357,0.735361,0.006294,0.005104,1.925143,1.927677,1.929016,0.732259,0.736757,0.738154,0.382199,225.235428,0.034212,0.024174,1.192995,0.447869,0.381341,0.895622,0.618659,25.52
1.798419,0.644936,0.006596,0.003614,1.793447,1.798326,1.802603,0.643097,0.645291,0.647263,0.358829,225.565519,0.029242,0.017603,1.153483,0.47209,0.358613,0.707934,0.641387,26.54
1.795024,0.639015,0.006049,0.003239,1.791507,1.797039,1.799814,0.637082,0.638351,0.639803,0.355224,247.02232,0.028108,0.01634,1.156009,0.474934,0.355992,0.697408,0.644008,26.54
1.804449,0.64065,0.006734,0.004523,1.801473,1.805187,1.808745,0.638621,0.642491,0.644378,0.355914,204.794199,0.032604,0.016988,1.163799,0.475972,0.355039,0.803548,0.644961,26.54
1.80045,0.652056,0.005042,0.003202,1.796989,1.798989,1.803287,0.650453,0.651368,0.654292,0.362075,280.364877,0.024058,0.01553,1.148394,0.468253,0.362163,0.77669,0.637837,26.54
1.852684,0.681348,0.011189,0.005389,1.842307,1.851072,1.86131,0.677989,0.682163,0.683708,0.368523,146.005875,0.036318,0.027828,1.171336,0.462242,0.367763,0.650151,0.632237,26.54
1.810769,0.657282,0.009309,0.003867,1.805055,1.812896,1.818875,0.655613,0.656423,0.65816,0.362085,182.253819,0.034775,0.019933,1.153487,0.467367,0.362985,0.586981,0.637015,26.54
1.812323,0.665893,0.009886,0.007792,1.808039,1.813298,1.816035,0.659301,0.665842,0.673077,0.367199,134.390341,0.053701,0.026361,1.14643,0.462603,0.367425,0.881506,0.632575,26.54
1.784772,0.63883,0.008398,0.003975,1.781029,1.788908,1.790525,0.636001,0.639558,0.640329,0.357513,186.609668,0.03437,0.020744,1.145941,0.472826,0.357934,0.642555,0.642066,26.54
1.885293,0.704673,0.004789,0.004306,1.883213,1.885479,1.886638,0.703275,0.704827,0.708754,0.373818,278.645208,0.027814,0.017359,1.18062,0.455844,0.373774,0.946875,0.626226,27.15
1.902569,0.707118,0.010654,0.005533,1.893821,1.89983,1.907233,0.703928,0.707009,0.710489,0.372143,153.193362,0.042215,0.027491,1.19545,0.458082,0.371665,0.683647,0.628335,27.15
1.893151,0.715339,0.012021,0.004118,1.884517,1.896676,1.900183,0.712882,0.713933,0.717872,0.376413,165.603018,0.044933,0.0186,1.177813,0.451531,0.377856,0.510283,0.622144,27.15
1.847196,0.675609,0.010754,0.005062,1.837638,1.850772,1.856996,0.67253,0.675237,0.678315,0.364841,152.625673,0.03501,0.025886,1.171587,0.464398,0.365748,0.64008,0.634252,27.15
1.861722,0.686008,0.005457,0.004155,1.860051,1.862542,1.864642,0.684236,0.687622,0.688191,0.369185,253.155018,0.030356,0.021126,1.175713,0.461475,0.368481,0.864534,0.631519,27.15
1.835105,0.673735,0.007927,0.004632,1.829457,1.833716,1.840346,0.670384,0.673781,0.677561,0.36744,188.475575,0.030582,0.019295,1.16137,0.462911,0.367137,0.737711,0.632863,27.15
1.880074,0.685526,0.008341,0.00409,1.873744,1.880727,1.887731,0.683655,0.685939,0.688122,0.36472,196.507264,0.032249,0.017532,1.194548,0.465602,0.364627,0.658024,0.635373,27.15
1.86216,0.692096,0.005085,0.005263,1.859124,1.860069,1.863015,0.688246,0.691517,0.695252,0.37177,248.862213,0.023078,0.019649,1.170064,0.458084,0.371663,0.982791,0.628337,27.15
1.837871,0.685496,0.008164,0.003254,1.831947,1.835863,1.843732,0.684706,0.68581,0.687007,0.373563,217.883867,0.044994,0.018933,1.152375,0.456681,0.372984,0.569991,0.627016,27.36
1.85101,0.693896,0.009925,0.004681,1.842653,1.848218,1.857471,0.691216,0.695436,0.697348,0.376274,167.376731,0.05059,0.018062,1.157115,0.454679,0.374874,0.640927,0.625126,27.36
1.857184,0.682464,0.008364,0.003321,1.849406,1.85601,1.862004,0.680802,0.682722,0.683431,0.367844,213.758289,0.032265,0.021371,1.17472,0.462552,0.367472,0.56847,0.632528,27.36
1.840202,0.67535,0.00693,0.00708,1.837715,1.842051,1.845517,0.669827,0.679541,0.68061,0.368905,180.47008,0.034039,0.024235,1.164852,0.46306,0.366998,0.989273,0.633002,27.36
1.859429,0.673719,0.005702,0.00339,1.856141,1.860891,1.863011,0.671258,0.675092,0.675965,0.362779,262.418844,0.030381,0.017333,1.18571,0.468078,0.362326,0.745754,0.637674,27.36
1.821681,0.661495,0.010433,0.00365,1.813191,1.817901,1.832688,0.65905,0.661504,0.662686,0.363883,177.916365,0.032787,0.018429,1.160186,0.467219,0.363123,0.51839,0.636877,27.36
1.847444,0.664624,0.004575,0.004534,1.846305,1.847085,1.848885,0.660773,0.664411,0.667535,0.359708,275.214457,0.025037,0.016247,1.182821,0.470855,0.359753,0.995604,0.640247,27.36
1.805778,0.667173,0.011154,0.006333,1.799277,1.802756,1.80917,0.663077,0.666451,0.670884,0.369685,133.622703,0.050902,0.023463,1.138605,0.460423,0.369466,0.724276,0.630534,27.36
1.83715,0.654605,0.006342,0.003062,1.832713,1.835282,1.840564,0.65319,0.654975,0.656919,0.35688,251.743539,0.024764,0.014587,1.182545,0.474583,0.356316,0.6512,0.643684,28.7
1.831128,0.633335,0.009779,0.007147,1.823066,1.833915,1.837806,0.629393,0.632104,0.635471,0.344675,137.937066,0.038317,0.034361,1.197794,0.486026,0.345871,0.844504,0.654129,28.7
1.811421,0.640846,0.008393,0.003984,1.803518,1.81231,1.818519,0.639856,0.640994,0.641773,0.353689,188.334405,0.038638,0.019452,1.170575,0.477344,0.353781,0.643756,0.646219,28.7
1.7932,0.630447,0.009106,0.005708,1.786529,1.797256,1.799402,0.625228,0.632734,0.634155,0.352056,153.690944,0.037972,0.022724,1.162752,0.479753,0.351577,0.770603,0.648423,28.7
1.810522,0.641209,0.008196,0.005024,1.805617,1.810662,1.813835,0.637976,0.64067,0.644862,0.353832,174.257704,0.040732,0.023207,1.169313,0.476934,0.354157,0.760077,0.645843,28.7
1.836292,0.671885,0.007417,0.004968,1.832623,1.835256,1.840746,0.667763,0.670357,0.675645,0.365266,191.420235,0.034629,0.023056,1.164406,0.464244,0.365892,0.802271,0.634108,28.7
1.817189,0.650721,0.005636,0.004071,1.81246,1.818859,1.821881,0.648257,0.651409,0.653665,0.358141,241.150882,0.022141,0.01807,1.166467,0.472654,0.358092,0.838777,0.641908,28.7
1.811357,0.656569,0.008581,0.004259,1.802731,1.811745,1.818083,0.653894,0.657112,0.658771,0.362696,182.619687,0.029455,0.018085,1.154788,0.467918,0.362474,0.663374,0.637526,28.7
1.906479,0.695942,0.008228,0.006418,1.900853,1.903444,1.911624,0.69202,0.694357,0.699039,0.364789,170.072138,0.036567,0.0364,1.210538,0.465158,0.36504,0.876384,0.63496,30.17
1.865893,0.673508,0.008284,0.006048,1.862961,1.86625,1.86933,0.670581,0.672232,0.675212,0.360205,168.294778,0.046144,0.032148,1.192385,0.469554,0.360957,0.843956,0.639043,30.17
1.904389,0.69192,0.008183,0.00636,1.898953,1.900653,1.910594,0.688174,0.689403,0.694856,0.362719,170.764319,0.035751,0.027364,1.212469,0.466997,0.363329,0.874651,0.636671,30.17
1.866073,0.675701,0.006879,0.006049,1.863878,1.868711,1.870307,0.671997,0.673067,0.678621,0.360177,191.490634,0.03744,0.026597,1.190372,0.468323,0.362098,0.935865,0.637902,30.17
1.837504,0.672839,0.006382,0.003157,1.832774,1.835275,1.840259,0.6703,0.672177,0.675587,0.366254,250.510141,0.024327,0.013132,1.164665,0.463947,0.36617,0.66195,0.63383,30.17
1.82693,0.66167,0.005189,0.005278,1.824982,1.826367,1.828675,0.657488,0.660216,0.664208,0.361492,238.736837,0.025019,0.020304,1.16526,0.468239,0.362176,0.991506,0.637824,30.17
1.888963,0.697085,0.00667,0.004539,1.886198,1.889997,1.891916,0.692607,0.697226,0.701037,0.368903,218.400856,0.033528,0.015482,1.191878,0.460888,0.36903,0.809908,0.63097,30.17
1.872528,0.679997,0.009489,0.006065,1.86631,1.870536,1.87884,0.67454,0.680432,0.685038,0.363763,154.728008,0.043075,0.022161,1.192531,0.467196,0.363144,0.779875,0.636856,30.17
1.878681,0.66891,0.007015,0.004698,1.873859,1.87715,1.882496,0.665895,0.668886,0.672501,0.356331,205.095216,0.036763,0.029713,1.209771,0.474868,0.356053,0.802212,0.643947,31.68
1.830678,0.642077,0.0077,0.004785,1.826887,1.82964,1.834518,0.638078,0.640751,0.645871,0.350206,185.968538,0.038202,0.017275,1.188601,0.480679,0.350732,0.766454,0.649268,31.68
1.869605,0.675416,0.012464,0.00665,1.860838,1.870904,1.879336,0.670511,0.675457,0.68023,0.361032,125.778393,0.049893,0.030366,1.194189,0.469226,0.361261,0.695827,0.638739,31.68
1.832176,0.652626,0.009497,0.005725,1.826424,1.828221,1.842056,0.647667,0.650144,0.65617,0.355616,153.459277,0.031585,0.019203,1.17955,0.474706,0.356203,0.752173,0.643797,31.68
1.848903,0.654644,0.011019,0.006078,1.840706,1.850993,1.854973,0.650941,0.655273,0.657327,0.354012,137.745492,0.050092,0.026201,1.194259,0.477027,0.354072,0.711004,0.645928,31.68
1.847635,0.656967,0.005823,0.003547,1.844389,1.849157,1.851733,0.655097,0.657404,0.659293,0.355516,251.246055,0.029687,0.018982,1.190668,0.475392,0.355572,0.757137,0.644428,31.68
1.856803,0.66639,0.008217,0.004775,1.853576,1.858346,1.864062,0.663845,0.66549,0.667948,0.358109,182.769317,0.03275,0.0259,1.190414,0.471789,0.358891,0.73503,0.641109,31.68
1.843734,0.661551,0.014243,0.006513,1.835499,1.850471,1.853788,0.657814,0.659681,0.664073,0.356494,115.511587,0.051453,0.025024,1.182182,0.471875,0.358811,0.627559,0.641189,31.68
1.841508,0.657598,0.008565,0.005298,1.837328,1.841636,1.844893,0.654532,0.655102,0.659049,0.355717,169.565223,0.052026,0.022816,1.183911,0.473734,0.357097,0.764343,0.642903,34.79
1.863606,0.659726,0.008362,0.00551,1.85744,1.862127,1.868202,0.654814,0.658243,0.662753,0.35349,171.295352,0.036867,0.019212,1.20388,0.477099,0.354005,0.794364,0.645995,34.79
1.844112,0.628082,0.006193,0.003314,1.83859,1.841775,1.849531,0.626756,0.627576,0.62964,0.340745,243.645555,0.020064,0.01672,1.216031,0.491883,0.340588,0.697117,0.659412,34.79
1.839293,0.659266,0.010232,0.004151,1.830452,1.841578,1.849084,0.656045,0.65917,0.661938,0.357938,169.295489,0.034114,0.018687,1.180027,0.472283,0.358435,0.577177,0.641565,34.79
1.812378,0.618953,0.006514,0.004208,1.807554,1.815026,1.816131,0.614561,0.619937,0.623102,0.341558,212.666143,0.028625,0.013432,1.193425,0.490853,0.341514,0.784951,0.658486,34.79
1.836924,0.627155,0.009554,0.003923,1.830548,1.834798,1.843753,0.623709,0.62664,0.629735,0.341531,176.068081,0.044946,0.016769,1.209769,0.490962,0.341416,0.582207,0.658584,34.79
1.829703,0.636239,0.005958,0.003822,1.827108,1.82997,1.832046,0.633919,0.634727,0.637549,0.346851,236.772221,0.030639,0.020116,1.193464,0.483979,0.347728,0.781601,0.652272,34.79
1.82572,0.637975,0.006695,0.00457,1.825404,1.827061,1.829281,0.635537,0.637066,0.641269,0.348683,206.158534,0.037552,0.023622,1.187745,0.482099,0.349438,0.811394,0.650562,34.79
1.871024,0.647705,0.010811,0.003895,1.864453,1.872627,1.880944,0.6446,0.648054,0.650288,0.346067,169.682381,0.046426,0.016799,1.223319,0.485689,0.346177,0.529705,0.653823,37.79
1.861635,0.649501,0.009712,0.002518,1.854831,1.858588,1.865928,0.647104,0.649154,0.651624,0.349273,224.828121,0.048979,0.011475,1.212134,0.482704,0.348887,0.411754,0.651113,37.79
1.832622,0.65465,0.008049,0.005089,1.825258,1.832271,1.837642,0.650251,0.652979,0.657832,0.356377,178.162834,0.032275,0.019345,1.177971,0.4736,0.357221,0.774742,0.642779,37.79
1.815086,0.647135,0.011139,0.004371,1.807403,1.815114,1.821176,0.645822,0.648249,0.65028,0.357139,155.504867,0.05015,0.019029,1.167951,0.474348,0.356531,0.563591,0.643469,37.79
1.829997,0.642091,0.011991,0.003952,1.823905,1.836036,1.83828,0.639794,0.643573,0.644316,0.350523,157.54212,0.050903,0.018979,1.187906,0.480527,0.35087,0.495801,0.64913,37.79
1.86757,0.655568,0.007808,0.004536,1.862264,1.8641,1.871689,0.652265,0.656225,0.659463,0.352033,191.862333,0.032459,0.018814,1.212003,0.480355,0.351027,0.734893,0.648973,37.79
1.850391,0.644696,0.010504,0.003516,1.840742,1.853396,1.860202,0.642688,0.644361,0.645964,0.347665,179.74896,0.039408,0.014638,1.205696,0.483228,0.34841,0.501623,0.65159,37.79
1.86902,0.656087,0.009694,0.003684,1.86136,1.871221,1.876244,0.655303,0.656791,0.657648,0.350996,185.444321,0.037956,0.020108,1.212933,0.480349,0.351033,0.550797,0.648967,37.79
1.785538,0.619881,0.005744,0.004155,1.782287,1.785958,1.788535,0.616389,0.619593,0.623548,0.346925,230.010188,0.028068,0.017117,1.165657,0.484596,0.347167,0.839489,0.652833,39.19
1.764119,0.606266,0.011511,0.003576,1.754707,1.75882,1.770934,0.605527,0.606428,0.607812,0.344793,161.383663,0.038086,0.018013,1.157853,0.488466,0.343665,0.474096,0.656335,39.19
1.766155,0.599979,0.00724,0.003837,1.759591,1.76454,1.770478,0.596607,0.601036,0.603581,0.340619,200.145597,0.029015,0.012853,1.166176,0.492861,0.339709,0.692801,0.660291,39.19
1.792738,0.62962,0.00671,0.002471,1.788249,1.790067,1.798728,0.628742,0.629474,0.630095,0.351648,260.997532,0.02578,0.013701,1.163119,0.48016,0.351206,0.538218,0.648794,39.19
1.812769,0.625699,0.004907,0.002382,1.81169,1.812804,1.814223,0.624169,0.625292,0.62788,0.344931,316.049818,0.031975,0.010026,1.187069,0.48681,0.345162,0.653624,0.654838,39.19
1.81298,0.614138,0.012927,0.008471,1.802147,1.811522,1.820877,0.606567,0.613298,0.620606,0.338554,106.373807,0.052465,0.029275,1.198842,0.493936,0.338745,0.791755,0.661255,39.19
1.782317,0.607957,0.009557,0.006534,1.77568,1.780748,1.787918,0.603044,0.608537,0.613788,0.341731,139.76867,0.046385,0.024212,1.17436,0.491308,0.341105,0.812104,0.658895,39.19
1.825768,0.617542,0.006923,0.004101,1.823064,1.825181,1.830478,0.614408,0.617576,0.619799,0.338364,207.159403,0.033363,0.019533,1.208226,0.494504,0.338237,0.744043,0.661763,39.19
1.870077,0.64151,0.013004,0.007529,1.85937,1.874607,1.881512,0.634748,0.641807,0.645799,0.342369,114.506831,0.049214,0.031188,1.228567,0.48916,0.343039,0.733382,0.656961,40.48
1.887047,0.659006,0.00505,0.004371,1.885619,1.888259,1.889793,0.656687,0.659442,0.661457,0.349233,262.205327,0.028124,0.019688,1.228041,0.482331,0.349226,0.927863,0.650774,40.48
1.927397,0.684653,0.008991,0.009698,1.921284,1.924022,1.931343,0.676095,0.684659,0.69438,0.355848,142.479273,0.049071,0.030323,1.242744,0.475773,0.355222,0.962216,0.644778,40.48
